序号,题目,答案,正确答案
1,关于“公说公有理，婆说婆有理”的说法，错误的是(    ),A、价值评价中不存在一个完全客观的标准 B、价值评价具有主体性特征 C、价值评价完全因人而异，不同的立场有不同的评价，无所谓正确错误之分 D、评价是以主客体的价值关系为认识对象的 ,正确答案： AC
2,真理和价值在实践中的辩证统一关系，主要体现在(    ),A、成功的实践必然是以真理和价值的辩证统一为前提的 B、价值的形成和实现以坚持真理为前提，而真理又必然是具有价值的 C、真理和价值在实践和认识活动中是相瓦制约、相互引导、相互促进的 D、在实践中真理仅仅是实践追求的价值日标而不是制约实践的客观尺度 ,正确答案： ABC
3,社会存在与社会意识的辩证关系是（）。,A、社会存在决定社会意识 B、社会意识决定社会存在 C、社会存在和社会意识相互决定 D、社会意识有相对独立性 ,正确答案： AD
4,社会意识的相对独立性表现为（）。,A、社会意识与社会存在的发展不完全同步 B、社会意识内部各种形式之间相互影响并各具有历史继承性 C、社会存在对社会意识只有决定作用 D、社会意识对社会存在有能动的反作用 ,正确答案： ABD
5,生产力具有复杂的系统结构，基本要素包括（）。,A、劳动资料 B、人与人的关系 C、劳动对象 D、劳动者 ,正确答案： ACD
6,下列各项属于生产关系内容的是（ ）。,A、生产资料的所有制关系 B、产品的分配方式 C、人们在政治上的统治和被统治关系 D、生产中人与人的关系 ,正确答案： ABD
7,社会发展的动力系统包括（）。,A、社会基本矛盾 B、阶级斗争 C、改革 D、科学技术 ,正确答案： ABCD
8,社会基本矛盾是社会发展的根本动力，因为（）。,A、生产力是社会基本矛盾运动中最基本的动力因素 B、社会基本矛盾运动决定着社会中其他矛盾的存在和发展 C、社会基本矛盾从根本上影响和促进社会形态的变化和发展 D、社会基本矛盾只在阶级社会中发挥作用 ,正确答案： ABC
9,“每一个社会时代都需要有自己的伟大人物，如果没有这样的人物，它就要把他们创造出来的”。这种观点（ ）。,A、正确说明了杰出人物的产生和作用 B、体现了偶然性和必然性的统一 C、否认了人民群众是历史发展的决定力量 D、违背了党的群众观点和群众路线 ,正确答案： AB
10,社会基本矛盾不包括（ ）。,A、革命与改革的矛盾 B、生产力与生产关系的矛盾 C、经济基础与上层建筑的矛盾 D、统治阶级与被统治阶级的矛盾 ,正确答案： AD
11,下列关于人民群众的正确说法，有（ ）。,A、人民群众是一个历史范畴 B、从质上看，人民群众是指一切对社会历史发展起推动作用的人们 C、从量上看，人民群众是指社会人口中绝大多数 D、在不同的历史时期，人民群众有着不同内容，包含着不同的阶级、阶层和集团 ,正确答案： ABCD
12,中国共产党在工作中的群众路线，指（ ）。,A、一切为了群众 B、一切依靠群众 C、从群众中来 D、到群众中去 ,正确答案： ABCD
13,唯物史观主张，评价历史人物时，应坚持（ ）的方法。,A、道德分析法 B、历史分析方法 C、以今论古方法 D、阶级分析方法 ,正确答案： BD
14,影响商品价格的因素有( )。,A、劳动时间 B、商品价值 C、供求关系 D、商品使用价值 ,正确答案： BC
15,资本主义政治制度的历史和阶级局限性表现在( )。,A、金钱操纵下的民主 B、法律名义上的平等掩盖着事实上的不平等 C、政党制是一种维护资产阶级统治的政治制度 D、整个政治制度维护着广大人民的利益 ,正确答案： ABC
16,下列关于使用价值与价值，正确的说法有( ),A、使用价值反映的是人与自然之间的物质关系 B、价值体现了生产者之间一定的社会关系 C、使用价值构成了社会财富的物质内容 D、商品的价值和使用价值之间是对立统一的关系 ,正确答案： ABCD
17,价值规律的积极作用，包括( ),A、自发调节生产资料和劳动力在社会各生产部门之间的分配 B、自发地刺激社会生产力的发展 C、自发地调节社会收入的分配 D、阻碍技术的进步 ,正确答案： ABC
18,资本家生产剩余价值的最基本方法有（ ）,A、内含扩大再生产 B、外延扩大再生产 C、绝对剩余价值生产 D、相对剩余价值生产 ,正确答案： CD
19,私人垄断资本主义向国家垄断资本主义过渡( ),A、是资本主义生产社会化的客观要求 B、是资本主义基本矛盾发展的必然结果 C、在一定程度上促进了资本主义生产的发展 D、能够从根本上解决资本主义的基本矛盾 ,正确答案： ABC
20,资本主义的发展经历了两个阶段，( ),A、自由竞争资本主义 B、私人垄断资本主义 C、国家垄断资本主义 D、垄断资本主义 ,正确答案： AD
21,当代资本主义发生新变化的原因主要有( ),A、科学技术革命和生产力的发展是根本推动力量 B、工人阶级争取自身权利和利益的斗争是重要力量 C、社会主义制度初步显示的优越性对当代资本主义产生了重要影响 D、主张改良主义的政党对资本主义制度的改革，发挥了重要作用 ,正确答案： ABCD
22,关于国家垄断资本主义对资本主义经济发展作用错误的认识是( ),A、在一定程度上促进了社会生产力的发展、 B、解决了垄断资本主义内在矛盾的深化与尖锐 C、从根本上解决了失业问题 D、从根本上消除了经济危机 ,正确答案： BCD
23,经济全球化的表现有( ),A、国际分工进一步深化 B、贸易全球化 C、金融全球化 D、企业生产经营全球化 ,正确答案： ABCD
24,资本主义国家的宪法的基本原则包括( ),A、私有制原则 B、主权在民原则 C、分权与制衡原则 D、人权原则 ,正确答案： ABCD
25,资本主义制度的历史进步性主要表现在( ),A、促使科学技术转变为生产力 B、追求剩余价值的动力和竞争的压力推动了生产力发展 C、资本主义政治制度促进和完善了资本主义生产方式 D、资本主义意识形态促进和完善了资本主义生产方式 ,正确答案： ABCD
26,资本主义为社会主义所代替的历史必然性表现在( ),A、资本主义的内在矛盾决定了资本主义必然被社会主义所代替 B、资本积累推动资本主义最终否定资本主义自身 C、国家垄断资本主义为向社会主义过渡准备了条件 D、资本主义生产关系的调整促进了生产力的发展 ,正确答案： ABCD
27,资本主义必然为社会主义所代替，并不意味着资本主义将在短期内自行消亡。资本主义向社会主义的过渡必然是一个复杂的、长期的历史过程，其原因在于,A、任何社会形态的存在都有绝对稳定性 B、资本主义的发展具有不平衡性 C、资本主义社会具有一定的自我调节能力 D、当代资本主义的发展还显示出生产关系对生产力容纳的空间 ,正确答案： BCD
28,属于１６－１７世纪空想社会主义者是（）,A、摩莱里 B、莫尔 C、马布利 D、康帕内拉 ,正确答案： BD
29,属于１９世纪法国的空想社会主义者是（）,A、莫尔 B、圣西门 C、傅立叶 D、欧文 ,正确答案： BC
30,率先进入社会主义国家，导致其社会主义建设具有艰巨性和长期性的原因有（）,A、生产力发展状况制约 B、经济基础发展状况制约 C、上层建筑发展状况制约 D、国际环境的严峻挑战 ,正确答案： ABCD
31,下列选项中属于共产主义含义的有（ ）,A、共产主义是一种科学理论 B、共产主义是一种现实运动 C、共产主义是一种社会制度 D、共产主义是一种社会理想 ,正确答案： ABCD
